model,roc_auc,fit_seconds,threshold,accuracy,precision,recall,f1,predicted_late_orders
Dummy Baseline,0.5,0.0016552000015508384,0.5,0.5496159987833625,0.5496159987833625,1.0,0.7093576721134501,13151
HistGradientBoosting,0.7340323419130641,4.916272599999502,0.5,0.6871720781689605,0.8126506024096386,0.5599059214167128,0.6630078636959371,4980
Random Forest,0.7335635653868624,2.99969720000081,0.5,0.6902897118089879,0.8302281766799247,0.548699501936912,0.6607246980424824,4777
Logistic Regression,0.7446698130527903,0.3380175000002055,0.5,0.6925709071553494,0.8476315215018555,0.5372163807415606,0.6576340079600305,4581
